CountryInd,,CAN,CAN,CAN,CAN,CAN,CAN,CAN,CAN,CAN,CAN,CAN,CAN,CAN,CAN,CAN,CAN,CAN,CAN,CAN,CAN,CAN,CAN,CAN,CAN,CAN,CAN,CAN,CAN,CAN,CAN,CAN,CAN,CAN,CAN,CAN,CAN,CAN,CAN,CAN,CAN,CAN,CAN,CAN,CAN,CAN,CAN,CAN,CAN,CAN,CAN,CAN,CAN,CAN,ROW,ROW,ROW,ROW,ROW,ROW,ROW,ROW,ROW,ROW,ROW,ROW,ROW,ROW,ROW,ROW,ROW,ROW,ROW,ROW,ROW,ROW,ROW,ROW,ROW,ROW,ROW,ROW,ROW,ROW,ROW,ROW,ROW,ROW,ROW,ROW,ROW,ROW,ROW,ROW,ROW,ROW,ROW,ROW,ROW,ROW,ROW,ROW,ROW,ROW,ROW,ROW,ROW,OUT
industryInd,,A01,A03,B05a,B05b,B05c,B07,B09,C10T12,C13T15,C16,C17,C19,C20,C21,C22,C23,C24a,C24b,C25,C26,C27,C28,C29,C30,C31T33,D01a,D01b,D01c,D01d,D01e,E,F,Fixed Capital Formation,G,Government Consumption,H49,H50,H51,H52,H53,Household Consumption,I,J58T60,J61,J62,K,L,M,N,O,P,Q,R_S,A01,A03,B05a,B05b,B05c,B07,B09,C10T12,C13T15,C16,C17,C19,C20,C21,C22,C23,C24a,C24b,C25,C26,C27,C28,C29,C30,C31T33,D01a,D01b,D01c,D01d,D01e,E,F,Fixed Capital Formation,G,Government Consumption,H49,H50,H51,H52,H53,Household Consumption,I,J58T60,J61,J62,K,L,M,N,O,P,Q,R_S,OUT
CountryInd,industryInd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,A01,9604271600,122905300,3099111.05439697,8482556.54730592,18163932.3982971,18022300,5498100,18884017100,6473400,6991012600,1073942600,21049500,446034700,3448000,188713800,10748900,10481452.5934609,81047.4065391418,8893200,1750400,2183300,7954900,17256900,2868500,36225700,10631260,10631260,10631260,10631260,10631260,1902500,1267857700,489375600,116317200,1200400,67190500,1120600,2032200,26174300,8860900,11004343800,992700000,12704600,5697700,6860400,24943200,14343400,46301500,14412200,323115200,35869800,52951200,54412800,2865822500,21193000,5058666.66666667,5058666.66666667,5058666.66666667,2694900,1534600,8431800000,400101200,280852700,102040800,51975300,229766700,147821300,147264000,4487300,3825350,3825350,4843500,3302200,1991400,5600900,5900600,1952500,40429900,1931500,1931500,1931500,1931500,1931500,2298300,187631300,909119800,243446100,87122100,13741800,4957800,6818100,26579700,965200,6799117400,428249100,2682200,5196700,2647700,4711000,8740300,42140700,34496700,112312400,32438000,53089600,35627400,73945411800
CAN,A03,83656800,48634600,51950.9569706595,73238.053516612,30810.9895127284,41500,28600,1429948400,8500,24300,41800,62000,422900,6371800,184500,24000,19424.7807426613,12675.2192573385,23700,10500,6800,22800,66100,22000,29800,11640,11640,11640,11640,11640,10600,1222800,40897900,555800,300,208900,2000,10200,89400,29200,582214000,179645800,36600,49300,51300,312700,86900,195000,102400,1278500,97600,113000,101200,4827900,10326900,8033.3333333333,8033.3333333333,8033.3333333333,3600,2500,408094200,365400,21799.9999999999,64400,124800,2109200,144600,84499.9999999999,5999.9999999999,8100,8100,6900,14700,3300,9100,9899.9999999999,3300,61300,4660,4660,4660,4660,4660,9500,150100,47217100,39038300,98200,17599.9999999999,231900,11200,27599.9999999999,3400,201130600,279210600,10100,10200,16800,20900,11200,5652300,51199.9999999999,25905700,5628500,110000,17448000,3425548000
CAN,B05a,21637434.5398997,341110.205314659,107997859.961571,107997810.700575,107996181.271957,23510151.0882221,82322663.070826,27305327.928631,1108363.06530239,8134115.39067629,20518095.6888073,1817459415.099,139199835.313638,1938230.51152416,5541821.30460896,19232996.1687217,517290241.950353,25184819.266554,7391211.31909142,1083565.9196375,1041731.19799719,5868273.21648861,5472553.09660507,2932722.78834341,5893411.11367302,608145011.161282,63189616.6051025,83714203.48349,22233875.6065611,29288385.2355221,1843334.20238982,167338916.451462,0,133576837.432174,0,17805564.1411346,1610068.86394984,1726522.19026505,9830866.6587109,9562444.13279328,0,11253886.8508435,7690588.43041197,3279846.95907385,3215803.60769597,54428533.137249,90775780.3511979,24328385.158015,16640636.3235947,43008138.3553071,43567138.2339857,42933465.9477538,67095022.6953523,693387.497099069,30323.5728933093,145019293.801986,143298345.143547,151844802.81747,4028289.24640585,2113768.66887796,3199567.09834683,385473.662877147,114097.956336818,9164369.15751107,4158556157.91434,106520238.745895,638622.150887887,279093.429387834,16194274.0636781,31246137.0362447,21883300.0840732,447317.074487594,377522.794336883,209364.908029876,686602.356805994,399833.051845404,301290.102683661,368011.641681824,94802020.6137175,98977673.2776866,92437120.6710665,91443942.1706625,91621705.8143384,657710.213919189,3127590.81250874,0,2973158.6370207,0,1294024.8199508,113231.132329547,175194.106051316,1125717.48104455,121845.569756627,0,1671188.92699258,310639.846362094,296961.961047977,8840742.72658518,23636152.2075039,1028400.0754547,1972939.34338395,1190884.71976873,204014166.484594,581824.25992743,1573710.09426508,783351.875825172,10145254195.2128
CAN,B05b,160494847.996691,2536837.80747107,160440509.235081,2259757934.55217,107996181.271909,156288299.12689,269191400.507978,190526145.710284,7787533.69871238,59474367.4633243,150738451.396543,9739435494.60082,1084342204.44678,12301190.7985865,36730141.452252,145343792.859272,118369950.197481,25184819.2665522,52956069.0889746,5692650.27373299,6973603.26081416,41601653.9259477,39975105.2531661,15164586.3505958,40451341.4663863,32224724.8623182,22840581.7659741,23194015.5739225,22135323.0640942,22256801.8649173,14114542.8424315,1314077010.68212,0,862394537.824939,0,17805564.1411297,12640205.9668035,13305499.1715832,68581637.0899243,74764645.3450862,0,78511508.0526511,57461704.9745545,24906257.041351,24791983.4530524,419502874.095148,693135841.71873,171368524.142185,122979358.614599,330455030.987497,333137110.052744,328481059.389812,49263317.8907432,5452706.21740448,126988.213759232,186244917.854534,162458283.00891,280585844.174976,11562659.4202989,4915493.76026328,26343315.17354,3031313.20408248,897250.808012204,21948348.9753049,4351385103.3766,306087141.102136,5355627.34353554,2194756.03565398,64274821.3008207,190663515.51796,61253652.5730136,3517641.39766788,2968788.59136658,1646417.55149532,5399347.47882879,3144234.15682088,2369304.77419897,2893994.25336698,142700072.120082,200415817.57334,110012496.285452,96284812.9430007,98741856.6760135,5400071.75913116,25801064.0113166,0,24595237.1367228,0,10176025.723487,890434.406058105,1377702.93235147,9306784.92458776,958026.617853219,0,1671188.92596356,2442829.97646192,2335270.99265719,600278.636701451,1604873.89623212,8087197.63467547,15514797.7874449,9364934.60862596,432704674.075194,4575387.6589985,12375431.0304218,6160174.18251005,26954903681.3966
CAN,B05c,179812917.463409,2828051.98721426,177311819.53548,2282183323.84613,107996181.27192,213473049.784888,290768836.421196,238924726.361085,9644503.23598521,68456817.1459995,171964652.914649,18845078590.3002,1104955460.23958,18182778.6898893,50430137.2431391,157147610.972006,131355150.052507,25184819.2665522,63290919.5919338,11349383.8066295,9410465.54118865,50692972.8575637,46095741.6502288,30960490.8610608,52238647.4199408,705347751.638913,69999650.6589323,93928686.7357275,22250509.1189356,30475162.6243071,14876922.9551787,1317784572.8664,5160877752.97917,1238466124.74289,21851.2885839783,262235571.717736,12682525.1692466,13848778.6381517,86035596.2513652,75630910.5221203,7973708854.35695,98486605.0965051,63493806.5950335,26678295.9995752,25785312.9392516,436534492.767603,734561277.930072,211261790.699801,138740105.061806,345965430.657196,352075151.713269,346764974.662433,301185359.413904,5452706.28550165,126988.213347799,1367132606.95726,711285263.064148,3968309543.17717,9580151.33329648,5249237.57085918,23978617.7281186,3031313.13304354,897251.235651551,15121681.8671859,60801691438.709,1108864720.15197,4688450.50557811,2194750.53496024,55061804.6355037,248743241.185791,75597253.602921,3517641.52784726,2968788.61430052,1646417.5404772,5399350.16436915,3144232.79133811,2369305.1231186,2893994.10495322,1709487165.73579,3518546102.3884,684918381.026044,254633923.388858,331648209.315543,4944218.02695066,23388845.1761802,6619780002.15966,22165804.226262,6122808.41092483,10176049.4565665,890434.461613031,1377702.96159803,8398197.59436978,958327.812390477,276521288.932012,24612822.147048,2442830.17717798,2335267.04629762,600278.636717134,1604873.8962711,8087202.28987534,15515062.8691766,9364980.67160964,2486377659.44022,4575388.08107879,12375458.8753185,6160173.94169363,128976398083.165
CAN,B07,335452800,7306300,59899726.4640961,101179021.489274,185458752.04663,171180300,59969900,40367800,1677100,6828100,126829200,320432700,316829300,4960300,12727200,1332234800,76574266.4680428,9902963933.53197,23037200,7389800,3605000,48268100,21351600,13295500,1638642800,41840000,41840000,41840000,41840000,41840000,3661100,1761412000,359483400,222591700,204500,13914200,3333100,3058000,50358700,2561400,182498800,18276800,24161100,20122000,15779900,140991700,44899600,89867000,46321000,368860900,45718200,176179800,27324400,61864700,1777400,23912666.6666667,23912666.6666667,23912666.6666667,759058700,26267900,150945900,9798900,1171200,47354600,452139500,793498200,18417100,27146900,1414711300,3584947550,3584947550,125280400,41599600,88856100,89667900,82663000,12862600,122596700,31027260,31027260,31027260,31027260,31027260,30134100,1712199900,237701000,58710500,616600,14117900,1515400,1491200,14970200,1151700,97447500,38598100,5717300,8689200,16594800,9703700,14394000,73385100,66980400,84148700,12079000,21442900,58138400,32953616400
CAN,B09,5666600,61900,578158565.593333,740692035.438259,7468160298.96841,1108640800,791284800,8443600,321200,1509100,2450300,1689900,3135600,1083600,1994700,2157300,378640.600853343,1559959.39914666,1751600,1126300,445600,2062200,1483800,3483200,2040900,1761860,1761860,1761860,1761860,1761860,917600,13626252200,5238338800,79683900,113900,4242600,63500,1183700,1965200,806200,38698200,5310300,4559500,8131900,11779200,65116300,19164200,30223600,17176900,28213600,6692700,14693400,9061700,2896700,465800,29622900,29622900,29622900,18528300,44916400,10383800,2297600,497400,2889500,67055100,36652100,810100,2418500,10080800,9352850,9352850,2760900,843000,1869600,1647700,838600,522700,2973200,3236800,3236800,3236800,3236800,3236800,992800,34546900,307433000,6798600,290000,2569600,238200,2835400,3658100,265500,12804500,1770200,769600,799800,1862500,3958500,3330400,5265300,4202000,4312800,948100,3358400,1411600,30690508900
CAN,C10T12,2854916300,188857100,53204824.0331985,74401561.7772598,20285414.1895418,41274800,31517100,11221834700,21190200,25131400,90440700,21814200,100744100,46778100,37754300,34576700,33004692.5551005,255207.444899504,43737300,19138900,10181200,52208800,40791100,39130500,77687400,12751040,12751040,12751040,12751040,12751040,17039000,398490900,1015832600,901738900,16385100,48199800,5334800,19750000,35522100,10063900,50318294800,9100851000,86828600,64902600,71119300,378381400,173137400,298158200,171011800,415689200,272019000,874496000,369509600,886110700,43969400,4124933.33333333,4124933.33333333,4124933.33333333,3706100,2870300,2845990000,42430900,6352100,37264100,17448900,115001900,46488600,13247600,9238000,8494200,8494200,13075300,16593700,7667800,20103200,18081100,9474800,14707000,1976180,1976180,1976180,1976180,1976180,4928000,43929200,640799800,201639600,17959300,11011200,9851600,8803700,11946200,1884400,10504595200,1156000000,10260100,9994300,14587000,26680600,17043200,99230600,27346300,410997500,262938300,333462400,96415400,98438737300
