,Sales,Production,Taxes Paid on Production,Used Input Costs,Bought Input Costs,Operating Surplus,Wages,Inventory Changes,Profits,Capital Bought,Household Consumption,Government Consumption,Taxes on Products,Imports,Exports,PPI,CPI,CFPI,Gross Output,Unemployment Rate,Consumption Expansion Loan Debt,Mortgage Debt,Central Bank Policy Rate,Exchange Rate USD to LCU,Firm Input Emissions,Firm Capital Emissions,Household Consumption Emissions,Household Investment Emissions,Government Emissions,Firm Input Emissions Coal,Firm Capital Emissions Coal,Household Consumption Emissions Coal,Household Investment Emissions Coal,Government Emissions Coal,Firm Input Emissions Gas,Firm Capital Emissions Gas,Household Consumption Emissions Gas,Household Investment Emissions Gas,Government Emissions Gas,Firm Input Emissions Oil,Firm Capital Emissions Oil,Household Consumption Emissions Oil,Household Investment Emissions Oil,Government Emissions Oil,Firm Input Emissions Refined Products,Firm Capital Emissions Refined Products,Household Consumption Emissions Refined Products,Household Investment Emissions Refined Products,Government Emissions Refined Products,Household Consumption Carbon Tax,Household Investment Carbon Tax,Firm Inputs Carbon Tax,Firm Capital Carbon Tax
10,772382352451.6272,732361956753.6127,17329143758.89604,387898613570.41266,387987927570.73535,49188295835.20958,335337654845.829,6186197238.878004,-377073446.7345772,63550247136.55209,219114284610.64972,109478467269.8791,23278522660.394012,138740523711.59003,119552362578.00043,0.9712045183577226,0.9747282711615792,0.951796178096501,789711496210.5232,0.06983087834151663,19003908433.773163,423577405609.87537,0.011947799144490283,1.104747132,74641633.2395172,1616509.7776791044,15915377.985582361,643627.4423071595,1494049.5014444487,25465001.21493535,222739.24266284928,933591.6289114228,53531.41144601548,7086801.670013144,6624379.826934928,52952.032290828334,3251612.5109897535,469661.7806859878,2110905.1063600965,13116842.755019056,1111584.0400652103,383633.30169017485,20592.014128748262,1473897.5281119824,29435409.442627855,229234.46266021603,11346540.543991009,99842.236046408,1264210.8689057974,1573857410.6635711,63647738.72786516,7381243959.425066,159855197.61548325
11,786937018165.155,725605381679.7498,17807949894.45427,398802948562.91846,398784839196.3103,40392180790.53371,347263082676.1446,8741758888.178663,-5554659965.479977,62570964306.62471,238532701122.14206,90354900068.50502,24952966329.436325,141397637351.56357,122603077129.74655,0.9970693642072461,1.0065434551276078,0.9349145792032377,804744968059.6093,0.06873977086743044,9501954216.886587,414962469910.5893,0.011947799144490283,1.104747132,72800173.4110801,1540316.870395325,15945205.845376665,626230.8418243839,1771887.8905695912,24921931.250911362,219505.89574383703,976204.3485629144,55818.31529997685,8698208.040196711,6519033.664064544,52444.54047210503,3098879.4090789836,448216.9374332855,2603852.7627178254,12256438.380767507,1039641.8519078359,390399.0222940078,20956.31389010983,1716875.4994234648,29102770.115336694,228724.58227154677,11479723.065440759,101239.27520101167,1571022.8970765183,1583776789.350101,62201133.16029786,7230964970.111202,152993829.69608042
12,791000475773.954,716693987379.6543,17746015848.307568,401861958595.84766,401739376960.7994,42034037730.951225,347166413493.3017,898536166.3925201,-2601776093.6869907,63699058538.18446,246947892257.8414,93164703303.8177,24848711462.218163,142039530313.19693,121652329887.47505,1.0150759754858867,1.023757655227778,0.9567710954885065,808746491622.2616,0.06873977086743044,0.0,411155474773.7949,0.011947799144490283,1.104747132,72020079.56751329,1494428.0131034893,16847960.956052154,643253.205986975,2122112.3432735717,24420333.266114708,215201.25469453481,1011209.2895906594,57862.02797801621,10527666.883622766,6281454.542729534,50921.06247845483,3151595.0304774735,455471.429270807,3121169.3219263065,11689762.253926707,994779.343378321,398282.00964932615,21403.446953765688,2028082.1456421576,29628529.504742347,233526.35255217864,12286874.626334693,108516.30178438599,1980201.1210810896,1677910719.0420604,64062437.7157047,7172574996.334086,148832062.73826975
13,794780199890.1678,714689111283.8096,17587857485.357986,403246817087.8915,403025273936.53357,44966176870.58249,346725364294.64325,3041291219.3634233,934954263.9640884,63182529155.71851,234283740031.6778,104088618894.12819,25238387854.126076,142359405083.94275,121495041224.34435,1.0187282311510497,1.0290952281382584,0.9510530931981278,812368057375.5259,0.06710310965630115,0.0,407348479637.0005,0.011947799144490283,1.104747132,70928825.75729726,1461497.0071532885,16650948.840477854,640494.9629853362,2576509.1295671426,24587621.734573916,216662.00479800598,1041175.4662271024,59553.073122076305,13261984.385759681,6190203.127710131,50265.9191641479,3134733.887760777,452608.29888776975,3855066.9143454684,11349082.414148845,967302.5842230022,401669.2376302292,21571.464412252935,2467513.5748128593,28801918.48086437,227266.49896813268,12073370.248859748,106762.12656323715,2411277.7960170126,1660967526.479596,63890733.470169246,7075301077.6062975,145787431.8265616
14,829724412444.8232,711673548093.9092,18001175860.209805,419208733049.91174,419140100501.4254,48385296674.05001,361717064346.0095,13386724974.21003,2751734705.2201385,66066543626.03987,250000360296.65662,94618458948.47781,26260945537.15338,148159003869.1947,127466121532.52003,1.0654734757471194,1.0737612045288039,0.9913120400803234,847725588305.0331,0.06710310965630115,0.0,403541484500.20605,0.011947799144490283,1.104747132,67175707.34880027,1357315.1806962478,15814925.707758484,591266.9104400892,3042402.5646546395,23460685.107464086,207477.4197433652,985067.5850891097,56339.55638026241,16313306.394220091,5850230.76250091,47823.1728441305,2858717.6872602534,412155.39462680224,4711314.306292906,10308202.185992328,883455.5286520256,380728.90342296334,20425.51705320643,2894858.200225898,27556589.292842932,218559.05945672648,11590411.531986156,102346.44237981804,2978695.0130610433,1579114892.8615413,59037797.65934228,6707471275.7556095,135527453.98563656
15,846208077216.3768,700668449219.59,17943259932.975716,428454198267.3894,428336217255.77606,39715261285.68714,378096533590.5343,9356064635.01636,-9140674011.380001,70831289194.565,245429215555.12186,107777396280.3842,26857305692.65493,150850549905.56113,126655488700.57452,1.1051416912424923,1.12828689108994,1.0637762760918128,864151337149.3525,0.06710310965630115,0.0,399734489363.41174,0.011947799144490283,1.104747132,64476889.12278284,1324300.8059859325,16052458.348321617,604463.1553987472,3975964.074849591,22499992.83784307,200220.5889684322,1013948.6421018175,57872.33927535814,21247063.18296108,5894423.179904924,48384.87653250488,2963908.190530251,426254.4196718657,6433278.451420571,9896386.005169025,865694.7635502961,406154.5976121798,17387.928265098057,3828480.267882678,26186087.099865824,210000.57693469917,11668446.918077368,102948.46818642534,3862751.173526719,1603782040.1050968,60391195.63484969,6441809381.039672,132309319.99639846
16,836621229233.319,693018714024.4366,17770749613.219437,423491404368.52356,423289892266.2764,32153055757.273712,381149279427.27795,-8534003964.162186,-12857580940.295177,69068096529.51431,259917191863.0215,112423379285.24402,27437315211.048042,149183978486.26575,119992420600.21214,1.1077571524477772,1.1340924154095506,1.0349923450599685,854391978846.5385,0.06819421713038734,0.0,395927494226.6173,0.011947799144490283,1.104747132,64216641.478061,1315952.3218988893,17646994.85182108,634438.4587149831,5305565.028763552,21865691.88914123,198028.08302373893,1094039.7183234948,62448.7309320745,28507094.18331354,6064879.874879218,50144.995453587544,3129678.9068439696,450731.8200147811,9044536.190259313,9652964.800336974,851127.705494084,446868.16042273276,6678.857411459898,5106135.5850304365,26633104.913703572,216651.53792747884,12976408.066230882,114579.05035666763,5405974.763026402,1763723457.478846,63408756.07196472,6418112425.73561,131522448.92377874
17,842420614553.3304,698747235219.2273,18061351483.54861,425438554135.5486,425135860028.3941,34801195638.23203,381890262909.2205,-4483643013.680149,-10644852767.864716,70277112928.01569,259761329952.36356,113087407438.03665,27036689505.43335,150165574304.2675,120426982150.62659,1.1075877713084095,1.1348606107495758,1.0540182223368446,860481966036.879,0.06437534097108565,0.0,392120499089.82294,0.011947799144490283,1.104747132,66965077.363390386,1336596.4360202707,18435858.27450209,639624.5388186583,7316540.28450609,22180341.240099028,198524.78300474127,1096956.134118225,62528.58481726208,39231076.46222563,6167607.421296477,50834.333362782454,3130445.322190939,450286.78173980734,12586505.35534903,9740514.01011913,854441.2921965646,436679.5230970694,5175.850299124882,7036702.185601192,28876614.691875756,232796.0274561819,13771777.295095857,121633.32196246399,7974016.50775312,1842967373.3037689,63940996.868999526,6694261308.256037,133614805.78673981
18,818455413963.4928,700979555708.7427,17926217672.99,412190822786.11945,411826103295.88635,36507447795.444084,369892277192.4879,-4336550798.917271,-6979753538.133881,70048187712.93082,269922565400.42603,95491483653.5998,26768974662.162872,145664268609.77594,114010998414.0533,1.0727131780328725,1.0894223546193469,1.0449349947291349,836381631636.4828,0.06492089470812876,0.0,388313503953.0285,0.011947799144490283,1.104747132,68864826.59564891,1391195.1266594168,18750972.92839728,650588.1145438831,9767861.237529937,22161785.557370465,200271.58449784783,1089466.8872025418,62093.75634288953,50914128.17645922,6355484.832942506,52468.617907940614,3232590.830543857,464899.0832792209,16712874.021311717,10283501.32344969,895291.1419844421,436296.56132639444,6158.117859763759,9485379.538876545,30064054.881886262,243163.7822691862,13992618.649324484,117437.15706200898,10715290.21662182,1874715769.8518174,65045574.04413191,6885081478.1699295,139091206.24560198
19,794181705659.7828,703544174734.5315,17836139692.696133,401664829373.37787,401262820437.6524,33679966102.056248,358926988164.6427,-3009313487.0399623,-5533692089.75816,68000090412.88212,250535705328.21744,104176106786.7303,24980625937.98069,141432061996.85095,109971228973.71559,1.03853069886568,1.0562420920318223,1.010782662908946,812017845352.479,0.06382978723404255,0.0,384506508816.23413,0.011947799144490283,1.104747132,72067520.9824323,1492456.9543211597,18799557.5525819,647761.7260333819,14171966.958143797,22533156.62059634,204742.15027804536,1059066.400440014,60171.99057829714,69803100.4948055,6519825.505387057,53897.32116953944,3335012.7652489804,478642.0191615166,23023278.71074854,11324172.537508305,976735.8544191233,418227.01542258484,5108.960018232743,13877653.23056512,31690366.3189406,257081.6284544517,13987251.37147032,103838.7562753354,15192336.31998634,1879723750.286742,64768178.58856773,7205862714.378685,149227277.0500819
