,<-- Navigate by typing to search,,,,,,,,,,,,,,,,,,,,,,
CIMS.Generic Fuels.Coke,Service,CIMS,,Coke,,Emissions,CO2,Combustion,,"ECCC, NIR",tCO2,0.11005896543937,0.11005896611747,0.11005898524738,0.11005896964909,0.11005896413461,0.11005896413461,0.11005896413461,0.11005896413461,0.11005896413461,0.11005896413461,0.11005896413461,
CIMS.Generic Fuels.Coke,Service,CIMS,,Coke,,Emissions,CH4,Combustion,,"ECCC, NIR",tCH4,0.00000104058272,0.00000104058272,0.0000010405829,0.00000104058276,0.00000104058271,0.00000104058271,0.00000104058271,0.00000104058271,0.00000104058271,0.00000104058271,0.00000104058271,
CIMS.Generic Fuels.Coke,Service,CIMS,,Coke,,Emissions,N2O,Combustion,,"ECCC, NIR",tN2O,0.00000069372181,0.00000069372182,0.00000069372194,0.00000069372184,0.0000006937218,0.0000006937218,0.0000006937218,0.0000006937218,0.0000006937218,0.0000006937218,0.0000006937218,
CIMS.Generic Fuels.Diesel,Service,CIMS,,Diesel,,Service provided,,,,,GJ,,,,,,,,,,,,
CIMS.Generic Fuels.Diesel,Service,CIMS,,Diesel,,Competition type,Supply - Fixed Price,,,,,,,,,,,,,,,,
CIMS.Generic Fuels.Diesel,Service,CIMS,,Diesel,,Is supply,TRUE,,,,,,,,,,,,,,,,
CIMS.Generic Fuels.Diesel,Service,CIMS,,Diesel,,LCC_financial,,,,CER,$/GJ,32.72,33.14,35.07,33.75,32.84,34.19,33.58,34.6,34.89,34.88,34.97,CER forecast - CAN transportation
CIMS.Generic Fuels.Diesel,Service,CIMS,,Diesel,,Emissions,CO2,Combustion,,"ECCC, NIR",tCO2,0.06954511855134,0.07023511193045,0.07023507989769,0.07023507865735,0.07023511852444,0.07023511852444,0.07023511852444,0.07023511852444,0.07023511852444,0.07023511852444,0.07023511852444,
CIMS.Generic Fuels.Diesel,Service,CIMS,,Diesel,,Emissions,CH4,Combustion,,"ECCC, NIR",tCH4,0.00000343847612,0.00000347259104,0.00000347258945,0.00000347258939,0.00000347259136,0.00000347259136,0.00000347259136,0.00000347259136,0.00000347259136,0.00000347259136,0.00000347259136,
CIMS.Generic Fuels.Diesel,Service,CIMS,,Diesel,,Emissions,N2O,Combustion,,"ECCC, NIR",tN2O,0.00001034128157,0.00001044388281,0.00001044387805,0.00001044387787,0.0000104438838,0.0000104438838,0.0000104438838,0.0000104438838,0.0000104438838,0.0000104438838,0.0000104438838,
CIMS.Generic Fuels.Fuel Oil,Service,CIMS,,Fuel Oil,,Service provided,,,,,GJ,,,,,,,,,,,,
CIMS.Generic Fuels.Fuel Oil,Service,CIMS,,Fuel Oil,,Competition type,Supply - Fixed Price,,,,,,,,,,,,,,,,
CIMS.Generic Fuels.Fuel Oil,Service,CIMS,,Fuel Oil,,Is supply,TRUE,,,,,,,,,,,,,,,,
CIMS.Generic Fuels.Fuel Oil,Service,CIMS,,Fuel Oil,,LCC_financial,,,,CER,$/GJ,14.71,16.17,20.72,21.31,23.28,26.92,27.51,27.51,27.19,26.65,26.27,CER forecast - CAN industrial
CIMS.Generic Fuels.Fuel Oil,Service,CIMS,,Fuel Oil,,Emissions,CO2,Combustion,,"ECCC, NIR",tCO2,0.07425882059456,0.07425883292694,0.07425883042541,0.07425881383775,0.07425915043292,0.07425915043292,0.07425915043292,0.07425915043292,0.07425915043292,0.07425915043292,0.07425915043292,
CIMS.Generic Fuels.Fuel Oil,Service,CIMS,,Fuel Oil,,Emissions,CH4,Combustion,,"ECCC, NIR",tCH4,0.0000028235293,0.00000282352977,0.00000282352967,0.00000282352904,0.00000282354184,0.00000282354184,0.00000282354184,0.00000282354184,0.00000282354184,0.00000282354184,0.00000282354184,
CIMS.Generic Fuels.Fuel Oil,Service,CIMS,,Fuel Oil,,Emissions,N2O,Combustion,,"ECCC, NIR",tN2O,0.00000150588229,0.00000150588254,0.00000150588249,0.00000150588216,0.00000150588898,0.00000150588898,0.00000150588898,0.00000150588898,0.00000150588898,0.00000150588898,0.00000150588898,
CIMS.Generic Fuels.Gasoline,Service,CIMS,,Gasoline,,Service provided,,,,,GJ,,,,,,,,,,,,
CIMS.Generic Fuels.Gasoline,Service,CIMS,,Gasoline,,Competition type,Supply - Fixed Price,,,,,,,,,,,,,,,,
CIMS.Generic Fuels.Gasoline,Service,CIMS,,Gasoline,,Is supply,TRUE,,,,,,,,,,,,,,,,
CIMS.Generic Fuels.Gasoline,Service,CIMS,,Gasoline,,LCC_financial,,,,CER,$/GJ,34.94,35.29,37.36,36.04,35.99,38.42,37.84,38.71,38.91,38.81,38.83,CER forecast - CAN transportation
CIMS.Generic Fuels.Gasoline,Service,CIMS,,Gasoline,,Emissions,CO2,Combustion,,"ECCC, NIR",tCO2,0.06682054401502,0.0661714517209,0.06617138500294,0.06617149168573,0.066171498751,0.066171498751,0.066171498751,0.066171498751,0.066171498751,0.066171498751,0.066171498751,
CIMS.Generic Fuels.Gasoline,Service,CIMS,,Gasoline,,Emissions,CH4,Combustion,,"ECCC, NIR",tCH4,0.00000288517029,0.00000285714386,0.00000285714098,0.00000285714558,0.00000285714589,0.00000285714589,0.00000285714589,0.00000285714589,0.00000285714589,0.00000285714589,0.00000285714589,
CIMS.Generic Fuels.Gasoline,Service,CIMS,,Gasoline,,Emissions,N2O,Combustion,,"ECCC, NIR",tN2O,0.00000057703406,0.00000057142877,0.0000005714282,0.00000057142912,0.00000057142918,0.00000057142918,0.00000057142918,0.00000057142918,0.00000057142918,0.00000057142918,0.00000057142918,
CIMS.Generic Fuels.Jet Fuel,Service,CIMS,,Jet Fuel,,Service provided,,,,,GJ,,,,,,,,,,,,
CIMS.Generic Fuels.Jet Fuel,Service,CIMS,,Jet Fuel,,Competition type,Supply - Fixed Price,,,,,,,,,,,,,,,,
CIMS.Generic Fuels.Jet Fuel,Service,CIMS,,Jet Fuel,,Is supply,TRUE,,,,,,,,,,,,,,,,
CIMS.Generic Fuels.Jet Fuel,Service,CIMS,,Jet Fuel,,LCC_financial,,,,JCIMS,$/GJ,22.519919250359,25.9743776258017,34.8320462458505,35.5848994989903,42.0359312612047,44.5954734185874,46.2915003190202,47.0557462823273,48.4372426894175,48.4372426894175,48.4372426894175,Cost in transportation freight - ON
CIMS.Generic Fuels.Jet Fuel,Service,CIMS,,Jet Fuel,,Emissions,CO2,Combustion,,"ECCC, NIR",tCO2,0.07038786167716,0.0684488599859,0.06844887307236,0.06844888454566,0.06844958090534,0.06844958090534,0.06844958090534,0.06844958090534,0.06844958090534,0.06844958090534,0.06844958090534,
CIMS.Generic Fuels.Jet Fuel,Service,CIMS,,Jet Fuel,,Emissions,CH4,Combustion,,"ECCC, NIR",tCH4,0.0000007973625,0.00000077539724,0.00000077539739,0.00000077539752,0.00000077540541,0.00000077540541,0.00000077540541,0.00000077540541,0.00000077540541,0.00000077540541,0.00000077540541,
CIMS.Generic Fuels.Jet Fuel,Service,CIMS,,Jet Fuel,,Emissions,N2O,Combustion,,"ECCC, NIR",tN2O,0.00000195216335,0.00000189838635,0.00000189838671,0.00000189838703,0.00000189840635,0.00000189840635,0.00000189840635,0.00000189840635,0.00000189840635,0.00000189840635,0.00000189840635,
CIMS.Generic Fuels.LPG,Service,CIMS,,LPG,,Service provided,,,,,GJ,,,,,,,,,,,,
CIMS.Generic Fuels.LPG,Service,CIMS,,LPG,,Competition type,Supply - Fixed Price,,,,,,,,,,,,,,,,
CIMS.Generic Fuels.LPG,Service,CIMS,,LPG,,Is supply,TRUE,,,,,,,,,,,,,,,,
CIMS.Generic Fuels.LPG,Service,CIMS,,LPG,,LCC_financial,,,,JCIMS,$/GJ,44.3705947891341,35.6473206876208,45.3898730321969,27.4336857076391,36.5691633854743,38.9109732042816,39.680924020989,40.3586337836866,41.1476456037675,41.1476456037675,41.1476456037675,Cost in mining - ON
CIMS.Generic Fuels.LPG,Service,CIMS,,LPG,,Emissions,CO2,Combustion,,"ECCC, NIR",tCO2,0.05642855245684,0.05653006784868,0.05653006784868,0.05653006784868,0.05653006784868,0.05653006784868,0.05653006784868,0.05653006784868,0.05653006784868,0.05653006784868,0.05653006784868,
CIMS.Generic Fuels.LPG,Service,CIMS,,LPG,,Emissions,CH4,Combustion,,"ECCC, NIR",tCH4,0.00000089391766,0.00000089552583,0.00000089552583,0.00000089552583,0.00000089552583,0.00000089552583,0.00000089552583,0.00000089552583,0.00000089552583,0.00000089552583,0.00000089552583,
CIMS.Generic Fuels.LPG,Service,CIMS,,LPG,,Emissions,N2O,Combustion,,"ECCC, NIR",tN2O,0.00000402262948,0.00000402986622,0.00000402986622,0.00000402986622,0.00000402986622,0.00000402986622,0.00000402986622,0.00000402986622,0.00000402986622,0.00000402986622,0.00000402986622,
CIMS.Generic Fuels.Natural Gas,Service,CIMS,,Natural Gas,,Service provided,,,,,GJ,,,,,,,,,,,,
CIMS.Generic Fuels.Natural Gas,Service,CIMS,,Natural Gas,,Competition type,Supply - Fixed Price,,,,,,,,,,,,,,,,
CIMS.Generic Fuels.Natural Gas,Service,CIMS,,Natural Gas,,Is supply,TRUE,,,,,,,,,,,,,,,,
CIMS.Generic Fuels.Natural Gas,Service,CIMS,,Natural Gas,,LCC_financial,,,,CER,$/GJ,11.99,11.99,5.14,2.9,3.53,3.01,3.4,3.6,3.78,3.78,3.78,CER forecast - CAN transportation
CIMS.Generic Fuels.Natural Gas,Service,CIMS,,Natural Gas,,Emissions,CO2,Combustion,,"ECCC, NIR",tCO2,0.05065950639326,0.05026909540566,0.04992671532412,0.04902041113972,0.0489705183935,0.0489705183935,0.0489705183935,0.0489705183935,0.0489705183935,0.0489705183935,0.0489705183935,
CIMS.Generic Fuels.Natural Gas,Service,CIMS,,Natural Gas,,Emissions,CH4,Combustion,,"ECCC, NIR",tCH4,0.00000097394051,0.00000096706746,0.00000096053998,0.0000009429154,0.00000094195571,0.00000094195571,0.00000094195571,0.00000094195571,0.00000094195571,0.00000094195571,0.00000094195571,
CIMS.Generic Fuels.Natural Gas,Service,CIMS,,Natural Gas,,Emissions,N2O,Combustion,,"ECCC, NIR",tN2O,0.00000086864965,0.00000086251963,0.00000085669782,0.0000008409786,0.00000084012266,0.00000084012266,0.00000084012266,0.00000084012266,0.00000084012266,0.00000084012266,0.00000084012266,
CIMS.Generic Fuels.Natural Gas Feedstock,Service,CIMS,,Natural Gas Feedstock,,Service provided,,,,,GJ,,,,,,,,,,,,
CIMS.Generic Fuels.Natural Gas Feedstock,Service,CIMS,,Natural Gas Feedstock,,Competition type,Supply - Fixed Price,,,,,,,,,,,,,,,,
CIMS.Generic Fuels.Natural Gas Feedstock,Service,CIMS,,Natural Gas Feedstock,,Is supply,TRUE,,,,,,,,,,,,,,,,
CIMS.Generic Fuels.Natural Gas Feedstock,Service,CIMS,,Natural Gas Feedstock,,LCC_financial,,,,CER,$/GJ,11.99,11.99,5.14,2.9,3.53,3.01,3.4,3.6,3.78,3.78,3.78,
CIMS.Generic Fuels.Petroleum Coke,Service,CIMS,,Petroleum Coke,,Service provided,,,,,GJ,,,,,,,,,,,,
CIMS.Generic Fuels.Petroleum Coke,Service,CIMS,,Petroleum Coke,,Competition type,Supply - Fixed Price,,,,,,,,,,,,,,,,
CIMS.Generic Fuels.Petroleum Coke,Service,CIMS,,Petroleum Coke,,Is supply,TRUE,,,,,,,,,,,,,,,,
CIMS.Generic Fuels.Petroleum Coke,Service,CIMS,,Petroleum Coke,,LCC_financial,,,,JCIMS,$/GJ,3.47166076159537,3.67899145199039,4.30098352317543,4.30098352317543,4.30098352317543,4.30098352317543,4.30098352317543,4.30098352317543,4.30098352317543,4.30098352317543,4.30098352317543,Cost in petroleum refining - AB
CIMS.Generic Fuels.Petroleum Coke,Service,CIMS,,Petroleum Coke,,Emissions,CO2,Combustion,,"ECCC, NIR",tCO2,0.07762551786473,0.07990148051471,0.08047702287581,0.07901092710062,0.08033282514303,0.08033282514303,0.08033282514303,0.08033282514303,0.08033282514303,0.08033282514303,0.08033282514303,
CIMS.Generic Fuels.Petroleum Coke,Service,CIMS,,Petroleum Coke,,Emissions,CH4,Combustion,,"ECCC, NIR",tCH4,0.00000258899675,0.00000258899677,0.00000258899756,0.00000258883191,0.00000258883267,0.00000258883267,0.00000258883267,0.00000258883267,0.00000258883267,0.00000258883267,0.00000258883267,
CIMS.Generic Fuels.Petroleum Coke,Service,CIMS,,Petroleum Coke,,Emissions,N2O,Combustion,,"ECCC, NIR",tN2O,0.00000059546925,0.00000059331176,0.00000059331194,0.00000059327398,0.00000059327415,0.00000059327415,0.00000059327415,0.00000059327415,0.00000059327415,0.00000059327415,0.00000059327415,
CIMS.Generic Fuels.Propane,Service,CIMS,,Propane,,Service provided,,,,,GJ,,,,,,,,,,,,
CIMS.Generic Fuels.Propane,Service,CIMS,,Propane,,Competition type,Supply - Fixed Price,,,,,,,,,,,,,,,,
CIMS.Generic Fuels.Propane,Service,CIMS,,Propane,,Is supply,TRUE,,,,,,,,,,,,,,,,
CIMS.Generic Fuels.Propane,Service,CIMS,,Propane,,LCC_financial,,,,JCIMS,$/GJ,17.1530034063391,17.1530034063391,17.1530034063391,17.1530034063391,17.1530034063391,17.1530034063391,17.1530034063391,17.1530034063391,17.1530034063391,17.1530034063391,17.1530034063391,Cost in commercial - ON
CIMS.Generic Fuels.Propane,Service,CIMS,,Propane,,Emissions,CO2,Combustion,,"ECCC, NIR",tCO2,0.05985776639725,0.05985775273524,0.0598578105476,0.05985781403078,0.05986045751675,0.05986045751675,0.05986045751675,0.05986045751675,0.05986045751675,0.05986045751675,0.05986045751675,
CIMS.Generic Fuels.Propane,Service,CIMS,,Propane,,Emissions,CH4,Combustion,,"ECCC, NIR",tCH4,0.00000094824184,0.00000094824163,0.00000094824254,0.0000009482426,0.00000094828448,0.00000094828448,0.00000094828448,0.00000094828448,0.00000094828448,0.00000094828448,0.00000094828448,
CIMS.Generic Fuels.Propane,Service,CIMS,,Propane,,Emissions,N2O,Combustion,,"ECCC, NIR",tN2O,0.0000042670883,0.00000426708732,0.00000426709144,0.00000426709169,0.00000426728014,0.00000426728014,0.00000426728014,0.00000426728014,0.00000426728014,0.00000426728014,0.00000426728014,
CIMS.Generic Fuels.Refinery Fuel Gas,Service,CIMS,,Refinery Fuel Gas,,Service provided,,,,,GJ,,,,,,,,,,,,
CIMS.Generic Fuels.Refinery Fuel Gas,Service,CIMS,,Refinery Fuel Gas,,Competition type,Supply - Fixed Price,,,,,,,,,,,,,,,,
CIMS.Generic Fuels.Refinery Fuel Gas,Service,CIMS,,Refinery Fuel Gas,,Is supply,TRUE,,,,,,,,,,,,,,,,
CIMS.Generic Fuels.Refinery Fuel Gas,Service,CIMS,,Refinery Fuel Gas,,LCC_financial,,,,JCIMS,$/GJ,0,0,0,0,0,0,0,0,0,0,0,Cost in petroleum refining - AB (use $0.0001 instead of $0.00)
